ID,RA,Dec,period
b313_406_26266,261.00689073,-37.2140265,0.328907
b313_406_55218,261.08705543,-37.24294094,0.805049
b313_406_43099,261.02019473,-37.26972861,2.001601
b313_406_78120,261.17087017,-37.23834388,26.809651
b313_406_77394,261.15317172,-37.25615387,0.257361
b313_406_25965,261.04547946,-37.16746595,4.875195
b313_406_45610,261.07625902,-37.21443718,0.5483
b313_406_50817,261.09137024,-37.21930992,1.277172
b313_406_59853,261.05748102,-37.29650577,0.532212
b313_406_57426,261.13050621,-37.20096177,0.239151
b313_406_41813,261.06075207,-37.21679439,0.564745
b313_406_30954,261.06209048,-37.16905311,1.054708
b313_406_38003,261.02137728,-37.24646711,0.37455
b313_406_53517,261.08491552,-37.23827976,1.350238
b313_406_51353,261.04183074,-37.27958052,3.151691
b313_406_15859,261.0314828,-37.14101958,1.483459
b313_406_38127,261.06713913,-37.19339006,0.438777
b313_408_18210,261.65878334,-37.3981617,0.255222
b313_408_13951,261.64341767,-37.39865163,0.437851
b313_408_27665,261.68357524,-37.40725675,0.38214
b313_408_61441,261.75945605,-37.45557537,0.561114
b313_408_12967,261.64493901,-37.39258534,1.029802
b313_408_45631,261.69003925,-37.4733654,0.200631
b313_408_37103,261.6663934,-37.46622601,4.286694
b313_408_18702,261.64716833,-37.41384285,0.272734
b313_408_35626,261.70244446,-37.41760838,0.361695
b313_408_35859,261.69472556,-37.4277381,0.347144
b313_408_15494,261.61709006,-37.43608107,925.925926
b313_408_61970,261.73882508,-37.48214835,1.622534
b313_408_45906,261.71750287,-37.44202394,943.396226
b313_408_12014,261.61225192,-37.42747829,884.955752
b313_408_78657,261.70919234,-37.5857664,3.351768
b313_408_14899,261.61778189,-37.43291834,1.466061
b313_408_82116,261.79031631,-37.50451805,17.343045
b313_410_64273,261.43347068,-36.85216053,4.058606
b313_410_72682,261.38413927,-36.94399851,0.270338
b313_410_17545,261.31943246,-36.80478827,1.13648
b313_410_17733,261.32662005,-36.79702541,0.237214
b313_410_22743,261.24128522,-36.91719639,2.358991
b313_410_19179,261.22450965,-36.92306431,14.503263
b313_410_8831,261.29343214,-36.80073813,3.610369
b313_410_53501,261.34266177,-36.91722044,0.316537
b313_410_81154,261.37338675,-36.99057074,0.321469
